business_id,name,address,latitude,longitude,stars,price
-D_3emciINpjvYXsHCf8OA,AKA Rittenhouse Square,135 S 18th St,39.9503652,-75.1704529,4.5,$$$
oZxSL3PFX15Lzr8cjszmgQ,AKA University City,2929 Walnut St,39.951936,-75.183911,4.0,Unknown price
3QPAh9VvYNTnqAFgBeBcng,Alexander Inn,301 S 12th St,39.946396818,-75.1609669488,4.5,$$
6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,4301 Island Ave,39.8911246892,-75.2342512699,3.0,$$
EaBgGhjd8rB9KVvCXKaiAw,Aloft Philadelphia Downtown,101 North Broad St,39.9546225,-75.1627921,3.5,$$
Tb-TrnvMd0iSA2AMHLyGEQ,Best Western Plus Philadelphia Convention Center Hotel,1225 Vine St,39.957823,-75.159432,2.5,$$$
toEYTrafM81UMo2GyCSxFw,Cambria Hotel Philadelphia Downtown Center City,219 South Broad Street,39.9486052,-75.1640808,3.5,$$$
ZLjUCF2UaML7S5pSmn5BKg,Canopy by Hilton Philadelphia Center City,1180 Ludlow St,39.9509385644,-75.1599574301,4.5,Unknown price
s7GZ95hHqmr9WreRU62iBQ,Chestnut Hill Hotel,8229 Germantown Ave,40.0741672,-75.2030982,3.5,$$$
5CCWbCvlxPCX3kLSSFTfEA,Chestnut Hill Tower Apartments,7600 Stenton Ave,40.0732581,-75.1906974,2.0,Unknown price
Je10gqBQIqSvYNS8XGrYnw,Chez Colette,120 S 17th St,39.9507208157,-75.1689343926,3.5,$$
p6H295aQCbDJ80GcpqFvwA,Club Quarters Philadelphia,1628 Chestnut St,39.9512939,-75.1684401,3.0,$$
taVKq3N2vPxeNAHYDJAL5g,Cornerstone Bed & Breakfast,3300 Baring St,39.9613129,-75.1899803,4.5,Unknown price
MdxSCDMlOPZ2peHIDUZSFg,Courtyard by Marriott Philadelphia Airport,8900 Bartram Ave,39.8849770662,-75.2513694763,3.5,$$
QMHd6Z2djm_SBLzGhLvFqw,Courtyard by Marriott Philadelphia South at The Navy Yard,1001 Intrepid Ave,39.895454514,-75.1717264504,4.0,$$
j7dMQazjHXoBTsbpw5B28Q,Courtyard by Marriott,4100 Presidential Blvd,40.0071725342,-75.2110841091,3.5,$$
bTNwrkDJ2HSIQo5egSX37g,Days Inn by Wyndham Philadelphia - Roosevelt Boulevard,4200 Roosevelt Blvd,40.029927,-75.1062366,1.0,$
0hVf3a0oq8ckB8JIDwSgig,Days Inn by Wyndham Philadelphia Convention Center,1227 Race Street,39.956112,-75.1602156,2.0,$$
HVOHC7EyUMYdgV7S6kd0uQ,Delta Hotels Philadelphia Airport,500 Stevens Dr,39.8730999989,-75.2747963729,2.0,$$
7WD63dyoVXKdCFb9ly5EhA,DoubleTree by Hilton Hotel Philadelphia Airport,4509 Island Ave,39.8889615,-75.2325572,2.5,$$
jTI5Xjk27An8ceJ6VwpXiQ,DoubleTree by Hilton Hotel Philadelphia Center City,237 S Broad St,39.9479028004,-75.1640327275,3.0,$$
HF1YWT8QVR7095r-aLbV5g,Element Philadelphia,1441 Chestnut St,39.9511572392,-75.1653848735,4.0,$$
SEFujmfGZI08JWRyhIpYeQ,Embassy Suites by Hilton Philadelphia Airport,9000 Bartram Ave,39.8838478195,-75.2497038245,2.5,$$
53ZvKaO19YS6Gt5x-va0BA,Extended Stay America - Philadelphia - Airport - Bartram Ave.,8880 Bartram Ave.,39.8862681,-75.2480428,1.5,$$
vAjNHtuCm1Pwu47PEOTwXA,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,9000 Tinicum Blvd,39.8840025672,-75.2481961274,1.5,$$
jDds2solrdvoyK7sB97Eog,Fairfield Inn & Suites Philadelphia Downtown/Center City,261 South 13th Street,39.9468905,-75.1623589,3.5,$$
TTgpKmTSJs1w60DJkWlLWw,Fairfield Inn by Marriott Philadelphia Airport,8800 Bartram Ave,39.8868252585,-75.2476465702,3.0,$$
tvBz80VKCtWAVbA6VmJufg,Four Points by Sheraton Philadelphia Airport,4101A Island Ave,39.8915307681,-75.2326749154,2.5,$$
KGvGSfvlWzurRu247ckEPw,Four Points by Sheraton Philadelphia City Center,1201 Race St,39.9560366,-75.1591784,3.0,$$
THeEPb1SgJLhwMlWrxOeSQ,Four Points by Sheraton Philadelphia Northeast,9461 Roosevelt Blvd,40.0783729453,-75.0292557658,2.5,$$
egk4EEv8KcmI6ZFyUieVeQ,Four Seasons Hotel Philadelphia at Comcast Center,1 N 19th St,39.9550013332,-75.170976,4.0,Unknown price
sBZClv18j7gr1HIGIMXNcA,Hampton Inn Philadelphia Center City-Convention Center,1301 Race St,39.9562835951,-75.1607483625,3.5,$$
wDaZZM-R-DvhoWR8y8q0mg,Hampton Inn Philadelphia-International Airport,8600 Bartram Ave,39.8882535601,-75.2463403344,3.0,$$
dkxCH6f6-YXsmfWDEiZs-Q,Hawthorn Suites By Wyndham Philadelphia Airport,4630 Island Avenue,39.8884,-75.230898,2.0,$$
JKR09pJneafnwpUg0FNEzw,Hilton Garden Inn Philadelphia Center City,1100 Arch St,39.9535723,-75.1580853,3.0,$$
kM0CewxK3Ize1SF92bfJYQ,Hilton Philadelphia at Penn's Landing,201 S Christopher Columbus Blvd,39.9452425,-75.1413550139,3.5,$$$
VEsI9_aDFzIrk8wh0QCOAw,Hilton Philadelphia City Avenue,4200 City Ave,40.004346,-75.21854,2.5,$$$
xV32Y7jne4duaM3H_r_ryQ,Holiday Inn Express Philadelphia - Penns Landing,100 N Columbus Blvd,39.9528054,-75.140446,3.5,$$
NvaHGU03m-hvXIGScPe6WQ,Holiday Inn Express Philadelphia-Midtown,1305 Walnut St,39.9493353797,-75.1626115157,3.5,$$
fJhOwBljOz3VJV-BhCB3hg,"Home2 Suites by Hilton Philadelphia - Convention Center, PA",1200 Arch St,39.9536826978,-75.159804225,3.5,$$
tPu6ZX94n260wQprRVohvA,Homewood Suites by Hilton Philadelphia-City Avenue,4200 City Ave,40.0040060418,-75.217685797,3.0,$$
X_1PaKwj4GhqwZ9Fi22WRA,"Homewood Suites by Hilton University City Philadelphia, PA",4109 Walnut St,39.9546572,-75.205593,3.0,$$
jMqEQYBIztLtcvnTujfHUA,Hyatt Centric Center City Philadelphia,1620 Chancellor St,39.9493052,-75.1689368,4.0,Unknown price
X_AVbwQcF3dcSWP6TlErcw,"Independence Park Hotel, Bw Premier Collection",235 Chestnut St,39.9486694089,-75.145468139,4.5,$$
sHumMO208xz2rMKYD-TrPA,Keystone Concierge,,39.9396284,-75.1866396,4.5,Unknown price
2oav5QoWgnvTI2gO5xFMjw,Kimpton Hotel Monaco Philadelphia,433 Chestnut St,39.9491236494,-75.1488953439,4.0,$$$
A9El2DdT9Qx2tfFc_f279A,Kimpton Hotel Palomar Philadelphia,117 S 17th St,39.9508293,-75.1686289,4.0,$$$
Qy8eNnWB1bTYnvRQ9jgOOQ,Le Meridien Philadelphia,1421 Arch Street,39.9548246,-75.1640644,3.5,$$$
_8QkK3WwGxNnn54Q1VTTcA,Leneghan's Crusader Inn,7412 Frankford Ave,40.0382627,-75.0376145,5.0,$
Q5-CkgsvtlRF5GphtoBFRQ,Live Casino Hotel,900 Packer Ave,39.9091912,-75.1646617,2.5,$$
0FMOvA2Noq-gieWfnXB7aQ,Live! Casino & Hotel Philadelphia,900 Packer Ave,39.9091912,-75.1646617,2.5,Unknown price
D5V0Fawd6ODVgqCY8xngsw,Loews Philadelphia Hotel,1200 Market St,39.9517461,-75.1602286,3.5,$$$
mlb7G66nkwYddPBfldUtIQ,Lokal Hotel,139 N 3rd St,39.9532548,-75.14479,4.5,$$$
EMviUh7Lud2nqnarrqi_tQ,Microtel Inn & Suites by Wyndham Philadelphia Airport,8840 Tinicum Boulevard,39.8889605,-75.2457544,2.0,$
9VEnlasR3YppxZuDyUv3iA,Microtel Inn & Suites,8840 Tincm Ave,39.88692,-75.24655,2.5,Unknown price
SO8kTCSO5dP5KyaX1JHDiA,Minute Suites,Terminal A-B Link,39.8789176098,-75.235748291,4.0,$$$
4UZgIeaRWuOj3Z6LNMyaDA,Morris House Hotel,225 S 8th St,39.9473689,-75.1542873,4.0,$$$
_AVG0GvrMfBRK5jyuwSwrg,Motto By Hilton Philadelphia Rittenhouse Square,31 S 19th St,39.9525065,-75.1717068,4.0,$$
qluIWCzDpeZfddykm_2gYg,North American Motor Inns,4444 City Ave,40.0031369,-75.2213329,1.0,$
0bvtIbpsqBJZpRKSPwIfNw,Panorama,14 N Front St,39.950201,-75.142285,4.0,$$$
HjewUoIXMm7yLu3aqQVTLg,Peking Inn,"2020 Penrose Ave, Ste D",39.911958,-75.183405,2.5,$$
lxIJfx79uxpR27Mly3lZ0Q,Penn Tower Hotel,3400 Civic Center Blvd,39.948655197,-75.1919810278,1.5,$$
KGBjEO-FilXoCK_Pk-jsvA,Penn's View Hotel,14 N Front St,39.950201,-75.142285,4.0,$$
AXinWDle4ZYGtkdwqkBETQ,Penrose Hotel,2033 Penrose Ave,39.912507,-75.18395,1.0,$$$
d9T1Jgf4N2vY3dcMlnCgeA,Philadelphia Airport Marriott,"One Arrivals Road, Terminal B",39.877788,-75.244411,3.0,$$
uTZNjhXe5yCTMuEEN_xwEQ,Philadelphia Hotel Bella Vista,752 S 10th St,39.9403402,-75.1594404,3.5,$
lZX5_8qspEXtMJGFQ0-Mow,Philadelphia Marriott Downtown,"1201 Market Street, (guest entrance at 1200 Filbert Street).",39.952534,-75.160578,3.0,$$
zJErbOQMKX-MwHs_ulV7DA,Philadelphia Marriott Old City,"One Dock St, 2nd and Walnut St",39.9452460633,-75.1433300972,3.0,$$$
8XtpIfn6bjrzKQraKuZHEQ,Renaissance Philadelphia Downtown Hotel,401 Chestnut St,39.9490202,-75.1478095,3.0,$$
JIrsBVXBPGeW5hRZvX7ZuA,Residence Inn by Marriott Philadelphia Center City,One East Penn Sq,39.9526484795,-75.1624528099,3.5,$$
dSdnWJxvhLwvsDfRI1lKuQ,Residence Inn Philadelphia Airport,3701 Island Ave,39.8957530955,-75.2363016307,4.0,$$
n4Ns3xLRhpkRwglwiQGKVA,Rodeway Inn Center City,1208 Walnut St,39.948766,-75.161061,2.5,$$
Pd-r2emx-k0GB3f2Iv4-zA,Roosevelt Inn,"7600 Roosevelt Blvd, Ste 1",40.0507104,-75.0519427,2.0,$$
d_AEJ6ekjX79tL5RZtwZ_g,ROOST Apartment Hotel,111 S 15th St,39.9505683,-75.1657016,4.5,$$$
UeoR9zNgHzBFFVvbq_44MQ,ROOST East Market,1199 Ludlow St,39.9513351232,-75.1597861201,4.5,Unknown price
1QlgJVS-WEb9KGS42sQMIA,ROOST Rittenhouse,1831 Chestnut St,39.9520087,-75.1715201,4.0,Unknown price
TDLkD6gOkn1jJ93go1ZySQ,Sheraton Philadelphia Downtown,201 North 17th Street,39.9570991,-75.1670329,2.5,$$
xcySfsPDols3EdtFC6b76g,Sheraton Philadelphia University City Hotel,3549 Chestnut St,39.954872,-75.194173,2.5,$$
ppEDJRsyGcFqBw10STGDqw,Sheraton Suites Philadelphia Airport,4101 B Island Ave,39.890563284,-75.2315340866,2.5,$$
zy2p8yfx_fgXMCCUo8nWsA,Sleep Inn Center City,1020 Cherry St,39.9546067076,-75.157443872,3.5,$
QX3g1tCeHvb_kIhLmtBj0A,Society Hill Hotel,301 Chestnut St,39.9488102,-75.1461255,2.0,$
EgI6S-JxwpxICPsqmaggiw,Sofitel Philadelphia,120 S 17th St,39.9509482,-75.1695409,4.0,$$
YGVBacpj1YW4q69hlYKoVA,Sonesta Philadelphia Rittenhouse Square,1800 Market St,39.9525251125,-75.1697713137,3.0,$$
