business_id,name,address,latitude,longitude,stars,good_for_meal,price,cuisine_1,cuisine_2
wuH4TPUo8oJo4E59xZKsNg,&pizza - Walnut,430 Walnut St,39.9492067124,-75.1659201062,4.5,"latenight, lunch, dinner",$$,Pizza,Vegetarian
rVGxva6cx2eID4ghDLVHJg,1225Raw Sushi and Sake Lounge,1225 Sansom St,39.9498493,-75.1615489,3.5,dinner,$$,Japanese,Korean
jEasa4Sbzy4NdLyzPPgQyg,2nd Story Brewing,117 Chestnut St,39.9484739,-75.1435556,4.0,"latenight, lunch, dinner",$$,American (New),Not Applicable
KYPhGJIibu_7ePIX4HNs6A,48th Street Grille,310 S 48th St,39.9531368,-75.2186607,4.5,"lunch, dinner",$$,American (New),Seafood
vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,39.9552167,-75.1574268,4.5,dessert,$$,Not Applicable,Not Applicable
3eJMsl41qwhcYlvoTF1ElQ,a.kitchen,135 S 18th St,39.950323,-75.170538,3.5,dinner,$$$,Modern European,American (New)
vhDWGF-8BfsxvS7Zo5Wv2w,Abe Fisher,1623 Sansom St,39.9507508655,-75.1682812761,4.5,dinner,$$$,Modern European,Not Applicable
ckbvLKwjEb836t-EDKsVVg,Abyssinia,229 S 45th St,39.9541658,-75.2116004,3.5,dinner,$$,Ethiopian,Not Applicable
Hr6aM0s-woIJaW6DJSbvNQ,Aki Nom Nom Sushi & Ramen,1210 Walnut St,39.948896,-75.1611319,3.5,"lunch, dinner",$$,Japanese,Not Applicable
XIKYdKWq72zUYsq8NBxcCQ,Aksum Cafe,4630 Baltimore Ave,39.9485474,-75.2163663,4.0,"dinner, brunch",$$,Mediterranean,Vegetarian
R17gwW6zn9ilslbdvKdgsg,Alma de Cuba,1623 Walnut St,39.9500808,-75.1685265,4.0,dinner,$$$,Latin American,Cuban
WgyhlYg3fnSgco4qLa20cg,Almaz Cafe,140 S 20th St,39.9506628,-75.1739332,4.0,"lunch, dinner",$$,Ethiopian,American (Traditional)
Al8y5FTs9tW5VsxTVy9ZMg,Alyan's Restaurant,603 S 4th St,39.9414081509,-75.1490631994,4.0,"lunch, dinner",$,Middle Eastern,Not Applicable
S8ZFYEgMejpChID8tzKo9A,Amada,217 Chestnut St,39.9485863525,-75.1449131188,4.0,dinner,$$,Spanish,Iberian
kfpwO_cdVQdTh2_oMDZ51Q,American Sardine Bar,1800 Federal St,39.936536,-75.17375,4.0,"latenight, dinner",$$,American,Not Applicable
waWvlZPOgPkfSTsnCju4aA,Amma's South Indian Cuisine,1518 Chestnut St,39.950914,-75.1664173,4.0,"lunch, dinner",$$,Indian,Not Applicable
UzU1N9XSoAUwn4Z8BIcvKw,Anastasi Seafood,1101 S 9th St,39.936139,-75.158194,4.0,"lunch, dinner",$$,Seafood,Not Applicable
cFSyJluKa2SHtgMMvlx6SQ,Angelo's Pizzeria,736 S 9th St,39.9406517812,-75.1576136221,4.5,"lunch, dinner",$$,Not Applicable,Not Applicable
rhdzgIxt3PikpHXm_QNCew,Animo Juice,1701 Arch St,39.9551232973,-75.1681293836,4.0,"lunch, breakfast",$$,Vegan,Mexican
lRbHFOIFuusN2WOR_ypQ_A,Ants Pants Café,2212 S St,39.9451562,-75.179105,4.0,"lunch, brunch, breakfast",$$,Not Applicable,Not Applicable
cbr2Db20L6P50CsxsX6c2A,Apricot Stone,"1040 N American St, Ste 601",39.9673315908,-75.1404441921,4.5,"dessert, dinner",$$,Mediterranean,Armenian
6GXMHrB8u-3nq87zE1Av0w,Baby Blues BBQ Philly,3432 Sansom St,39.953630921,-75.1929846337,3.5,"lunch, dinner",$$,Barbeque,Soul Food
vUkiYPpbkMXA99WneLSGkQ,Banana Leaf,1009 Arch St,39.9537784576,-75.157045316,3.5,dinner,$$,Asian Fusion,Not Applicable
oJxsRgj8Un9VAPXpaDuufA,Bank & Bourbon,1200 Market St,39.9517241479,-75.1601829009,3.5,"dinner, brunch",$$$,American (New),Not Applicable
617w8MQE3z1szmLvs0WfCw,Bar Bombón,133 S 18th St,39.9506592976,-75.1705476767,4.0,"lunch, dinner",$$,Latin American,Not Applicable
Mwc3n5Psw9wRaQ22vZWDYQ,Bar Hygge,1720 Fairmount Ave,39.9671254924,-75.1661240918,4.5,"dinner, brunch",$$,Comfort Food,Not Applicable
ZNWox30LIv7hV5k5YP8tCQ,Bar-Ly Chinatown,101 N 11th St,39.9540709,-75.1576818,4.0,"latenight, dinner",$$,American (New),Not Applicable
6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,110 S 13th St,39.950007,-75.1621577,4.5,dinner,$$,Italian,Mediterranean
YBak8o0xCiNN4sXr3izLbg,Barcade,1114 Frankford Ave,39.9673696,-75.1345292,3.5,,$$,Mexican,Not Applicable
6CUkqed0rhHtFwQ2i7Otsw,Barcelona Wine Bar Passyunk,1709 E Passyunk Ave,39.9280846,-75.1652545,4.5,"latenight, dinner",$$$,Spanish,Not Applicable
wbDRmtxaKRpBOjutvV6TEA,Barclay Prime,237 S 18th St,39.9487096,-75.1708743,4.5,dinner,$$$$,Steakhouses,Not Applicable
elSnD7Vuxnlg5_9gTqBqmA,Barra Rossa Ristorante,929 Walnut St,39.9485666341,-75.157169,3.5,dinner,$$,Italian,Not Applicable
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,51 N 12th St,39.9533224742,-75.1590000821,4.0,lunch,$$,Cajun/Creole,Not Applicable
atZ_olNKXOG4rEr6mccN8g,Beiler's Bakery,51 N 12th St,39.953764,-75.159218,4.5,Unknown,$,Not Applicable,Not Applicable
-UJ7ZTb3zfmqZogmy3fnGg,Bellini,220 S 16th St,39.949084,-75.167867,3.0,dinner,$$,Italian,Not Applicable
tBQcVd9c0EHKAXLZn_v54g,Bibou,1009 S 8th St,39.9365031566,-75.1566941459,4.5,dinner,$$$,French,Not Applicable
QhgrhVKlXZtSY6gRThf8zA,Bing Bing Dim Sum,1648 E Passyunk Ave,39.9289898,-75.1647415,4.0,dinner,$$,Asian Fusion,Chinese
L4kfcADLCU4T33i7Z0CkuA,Bistro Romano,120 Lombard St,39.9419372505,-75.1446834884,4.0,dinner,$$,Italian,Mediterranean
