name,address,latitude,longitude
Auto Show Philadelphia,1101 Arch St,39.9540710998,-75.1593234008
Avril 50,3406 Sansom St,39.9535136,-75.1925556
B N B Cigars,7920 Germantown Ave,40.069825,-75.200436
Bloktoberfest,17 Washington Ave,39.9438564474,-75.1671774914
Chinatown Friendship Gate,10th & Arch St,39.9537097058,-75.156232
Chinatown,North 12th St,39.9768041498,-75.1544603971
Clark Park Flea Market,43RD St And Baltimore Ave,39.9495541,-75.2092403
Clark Park,43RD And Baltimore,39.9495541,-75.2092403
Comcast,1500 Market St,39.9523167,-75.1664857
Dilworth Park,1 S 15th St,39.952505,-75.165131
Exclusive Vape Shop,732 South St,39.9421634,-75.1550452
Fante's Kitchen Shop,1006 S 9th St,39.9373725,-75.1583456
Fine Wine & Good Spirits,"Ivy Ridge Shopping Ctr, 7146 Ridge Ave",40.044217875,-75.2323440575
Fishtown Rivercity Festival,1199 N Delaware Ave,39.9664442,-75.130128
Flourishing Gifts,1200 Spruce St,39.9463002,-75.1612188
Flying Monkey Bakery,12th St & Arch St,39.953807711,-75.1586299373
Funny Monk Emporium,4369 Cresson St,40.0266672,-75.2240864
Green Farm,10690 Bustleton Ave,40.109900911,-75.0252331048
Greensgrow Farms,2501 E Cumberland St,39.9781699,-75.1208563
Harry Potter Festival,16 E Highland Ave,40.0706957901,-75.2101517966
"Historic Philadelphia, Inc","600 Walnut St, Ste 130",39.948321,-75.151952
Humphrys Flag Company,238 Arch St,39.9519567,-75.144619
Independence Visitor Center,599 Market St,39.9509761191,-75.1500126909
Jules Goldman Books and Antiques,29 N 2nd St,39.9507335,-75.1430684
Manayunk Arts Festival,4312 Main St,40.0246303,-75.2225181
Market Street Gold,936 Market St,39.9513496,-75.1565009
Midtown Village Fall Festival,1300 Walnut St,39.9488867,-75.162323
Museum of the American Revolution,101 S 3rd St,39.948212,-75.1455516
National Museum of American Jewish History,101 S Independence Mall E,39.9502433661,-75.1485609997
Old City District,231 Market St,39.9502865,-75.1447514
Old City Hall,33-99 S Independence Mall E,39.949042,-75.149198
Pennsylvania Academy of Fine Arts,118-128 N Broad St,39.955637,-75.16349
Phil's Live Crabs,10 St And Oregon Ave,39.9159905,-75.164498
Philadelphia Brewing Company,2440 Frankford Ave,39.9826101,-75.1273561
Philadelphia Flower Show,1101 Arch St,39.9546231383,-75.1580399508
Philadelphia Urban Adventures,229 Arch St,39.952091,-75.1401399646
Philadelphia's 9th Street Italian Market,919 S 9th St,39.9389055424,-75.157853149
Philly Dream Shop,254 South St,39.9412813,-75.1474966
Philly Souvenir,64 N 3rd St Philadelphia,39.95188,-75.1454079
Polish American Cultural Center,308 Walnut St,39.9469769,-75.1469221
Pollyodd,1908 E Passyunk Ave,39.926397,-75.167749
Punk Rock Flea Market,461 N Ninth St,39.9604,-75.1528521
R & R Produce Garden Center,7100 Ridge Ave,40.0443723777,-75.2301057589
Reading Terminal Market,51 N 12th St,39.9533414645,-75.1588545174
Rittenhouse Row Spring Festival,18th St & Walnut St,39.9496588223,-75.1674733311
Shane Confectionery,110 Market St,39.9495474,-75.1426984
Shibe Vintage Sports,137 S 13th St,39.9494082,-75.1618172
South Street Headhouse District,2nd And Lombard St,39.942175,-75.145318
Suplex Philadelphia,624 South St,39.9419716,-75.1531084
Swag Boutique,935 N 2nd St,39.9650524,-75.140481
The Betsy Ross House,239 Arch St,39.9522798,-75.1446095
The Center For Art In Wood,141 N 3rd St,39.95339409,-75.14478933
The Fabric Workshop and Museum,1214 Arch St,39.9537173,-75.1602156
The Piazza,1001 N 2nd St,39.9665611,-75.1399899
The Pleasure Chest,2039 Walnut St,39.9508319,-75.1751267
The United States Mint,151 N Independence Mall E,39.9533704258,-75.148115658
The Wanamaker Eagle,1300 Market St,39.9514445941,-75.1621564708
Tullycross Fine Irish Handcrafts,110 South St,39.9409003,-75.1444366
Urban Jungle,1526 E Passyunk Ave,39.9303878,-75.1630645
Vape Scorpion,10859 Bustleton Ave,40.1104904,-75.0239261
Xenos Candy 'N' Gifts,231 Chestnut St,39.9486947,-75.1452689
