name,address,latitude,longitude,stars,price,attraction_type,perks,family oriented,history oriented,activity oriented,nature oriented,food oriented,shopping oriented
76 Carriage Company,1350 Schuylkill Ave,39.9375741,-75.2037673,4.5,$$$,Tours,Local Flavor,high family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Academy of Natural Sciences,1900 Benjamin Franklin Pkwy,39.957018627,-75.1712603922,4.0,$$$,Museums,Not Applicable,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Auto Show Philadelphia,1101 Arch St,39.9540710998,-75.1593234008,3.5,$$,Festivals,Automotive,medium family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,low shopping oriented
Avril 50,3406 Sansom St,39.9535136,-75.1925556,4.5,$$,Local Flavor,Specialty Food,low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Awbury Arboretum,1 Awbury Rd,40.050556,-75.168113,4.5,$$,Parks,Active Life,medium family oriented,high history oriented,low activity oriented,high nature oriented,medium food oriented,no shopping oriented
Benjamin Franklin Bridge,US 676,39.9529445595,-75.1343607903,4.5,$$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Benjamin Franklin Museum,317 Chestnut St,39.9494843329,-75.1467383211,4.0,$$,Museums,Arts & Entertainment,high family oriented,medium history oriented,medium activity oriented,no nature oriented,no food oriented,low shopping oriented
Benjamin Franklin's Grave,5th and arch Streets,39.9524817544,-75.1486782067,4.5,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Big Red Pedal Tours,218 Market St,39.9497522,-75.1444806,4.0,$$$,Tours,Bike tours,low family oriented,medium history oriented,high activity oriented,low nature oriented,medium food oriented,no shopping oriented
Birchtree Catering,4500 Worth St,40.008612,-75.081733,5.0,$$$$,Local Flavor,Wedding Planning,high family oriented,medium history oriented,low activity oriented,medium nature oriented,high food oriented,no shopping oriented
